product,manufacturer,brand,category,subcategory,distributor,stars_TPC,stars_pb,attributes,local_category,brand_city,total_quantity,total_spend
MOLASSES GLDN A UNSLPHRD,SWEET HARVEST FOODS,WEST CRK,Culinary Ingredients,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Processed Culinary Ingredients,Local DC of Natl. Co.,"CANNON FALLS,MN",1,13.94
MOLASSES UNSLPHRD 4 STAR TFF,B&G FOODS INC,GRNDMA,Culinary Ingredients,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Processed Culinary Ingredients,Local DC of Natl. Co.,"Nazareth,PA",5,107.67000000000002
MORTADELLA 1/2 TFF,KAYEM FOODS INC,MEISTER,Animal Protein,Pork,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Chelsea,MA",2,46.78
MUFFIN BATTER APP-CINN TFF FZ,BAKE N JOY FOODS INC,BAKE,Highly Proccessed,Baked Desserts,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Ayer,MA",2,115.26
MUFFIN BATTER BANANA NUT TFF FZ,BAKE N JOY FOODS INC,BAKE,Highly Proccessed,Baked Desserts,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Ayer,MA",2,120.12
MUFFIN BATTER BLUBRY TFF FZ,BAKE N JOY FOODS INC,BAKE,Highly Proccessed,Baked Desserts,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Ayer,MA",8,491.33
MUFFIN BATTER CINNAMON COFFEE,BAKE N JOY FOODS INC,BAKE,Highly Proccessed,Baked Desserts,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Ayer,MA",2,115.6
MUFFIN BATTER CRNBRY ORANGE NUT,BAKE N JOY FOODS INC,BAKE,Highly Proccessed,Baked Desserts,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Ayer,MA",3,177.06
MUFFIN BATTER LEMON POPPY TFF,BAKE N JOY FOODS INC,BAKE,Highly Proccessed,Baked Desserts,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Ayer,MA",6,344.72
MUFFIN BATTER RAISIN BRAN,DAVIDS COOKIES,DAVIDS,Highly Proccessed,Baked (Desserts),PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Cedar Grove,NJ",1,34.86
MUFFIN CORN BKD FZ,DAVIDS COOKIES,DAVIDS,Highly Proccessed,Baked (Desserts),PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Cedar Grove,NJ",8,93.28
MUFFIN ENG SPLIT,HOMESTEAD BAKING COMPANY,HOME MKT,Highly Proccessed,Baked Desserts,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Rumford,RI",1,19.26
MUFFIN MIX CORN TFF,GENERAL MILLS DRY & FRZN,GOLD MED,Highly Proccessed,Baked Desserts,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Buffalo,NY",25,1344.9500000000003
MUFFIN MIX ORGNL TFF,GENERAL MILLS DRY & FRZN,GOLD MED,Highly Proccessed,Baked Desserts,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Buffalo,NY",5,278.23
MUSHROOM CRIMINI,RUBY ROBINSON FRANGELLA,PEAK,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local DC of Natl. Co.,"Toughkenaman,PA",571,7039.05
MUSHROOM CRIMINI LG,RUBY ROBINSON FRANGELLA,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local DC of Natl. Co.,"Toughkenaman,PA",6,94.44
"MUSHROOM PORTOBELLO CAP 4.5""",RUBY ROBINSON FRANGELLA,PEAK,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local DC of Natl. Co.,"Toughkenaman,PA",862,12622.9
MUSHROOM PORTOBELLO MED BULK,RUBY ROBINSON FRANGELLA,PEAK,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local DC of Natl. Co.,"Toughkenaman,PA",15,209.10000000000002
MUSHROOM SHIITAKE #1 CAPS ONLY,RUBY ROBINSON FRANGELLA,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local DC of Natl. Co.,"Toughkenaman,PA",265,6248.16
MUSHROOM SHIITAKE #2 SIZE,RUBY ROBINSON FRANGELLA,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local DC of Natl. Co.,"Toughkenaman,PA",2,28.64
MUSHROOM WHI BUTTON,RUBY ROBINSON FRANGELLA,PEAK,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local DC of Natl. Co.,"Toughkenaman,PA",17,367.43
"MUSHROOM WHI SLCD 1/4""",RUBY ROBINSON FRANGELLA,PEAK,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local DC of Natl. Co.,"Toughkenaman,PA",266,5221.639999999999
"MUSHROOM WHI SLCD 1/4"" TUB",RUBY ROBINSON FRANGELLA,PEAK,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local DC of Natl. Co.,"Toughkenaman,PA",10,217.07999999999998
"Mushrooms, Oyster - Organic",Mycoterra Farm,Mycoterra Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,USDA Certified Organic,Qualifying Spend,"Local,USDA Certified Organic,Minimal (or No) Processing",Local Vendors/Local Products,"Deerfield,MA",1,39.04
"Mushrooms, Shiitake - Organic",Mycoterra Farm,Mycoterra Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,USDA Certified Organic,Qualifying Spend,"Local,USDA Certified Organic,Minimal (or No) Processing",Local Vendors/Local Products,"Deerfield,MA",5,208.89000000000001
MUSSELS PEI LG ROPE GROWN,CAPE COD SHELLFISH &,ICY BLUE,Animal Protein,Fish/Seafood,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Boston,MA",35,712.5699999999999
MUSTARD DIJON FRNCH TFF,ROLAND FOODS LLC,ROLAND,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayton,NJ",1,80.97
MUSTARD DIJON JUG W/CHARDONNAY,MCCORMICK& CO INC,FRENCHS,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),14,535.4300000000001
MUSTARD DIJON PACKET TFF,KRAFT HEINZ DRY,GREY PPN,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),10,154.2
MUSTARD PACKET,KRAFT HEINZ DRY,HEINZ,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),4,29.36
MUSTARD SPICY BRWN,SAUER BRANDS,WEST CRK,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),5,117.75
MUSTARD SPICY BRWN TFF,CONAGRA FOODS SALES DRY,GULDENS,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),31,898.3799999999999
MUSTARD YLW PACKET TFF,KRAFT HEINZ DRY,HEINZ,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),2,26.36
MUSTARD YLW PACKET TFF,SAUER BRANDS,WEST CRK,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),25,287.52
MUSTARD YLW PLAS JUG TFF GF,MCCORMICK& CO INC,FRENCHS,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),8,119.60000000000001
"NAAN MINI ORGNL",FGF BRANDS INC,STONEFR,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),35,722.4000000000001
"Nectarines, Yellow - IPM",Klein's Kill Fruit Farm,Klein's Kill Fruit Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Gremantown,NY",1,49.5
NOODLES LO_MEIN TFF,AMOY ASIAN FDS NA INC,AMOY,Minimal Proccessed,Grains & Legumes,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local DC of Natl. Co.,"Fairlawn,NJ",66,2298.74
NOODLES RICE STICK PAD THAI TFF,ROLAND FOODS LLC,ROLAND,Minimal Proccessed,Grains & Legumes,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local DC of Natl. Co.,"Dayton,NJ",1,52.76
NUGGET IMIT BRD SESAME VEGAN FZ,ALLE PROCESSING CORP,MNCSNE,Plant Protein,Plant Protein,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,Local Business/Non-Local Products,"Maspeth,NY",187,9711.25
"NUTS, BLANCHED HAZELNUTS",BAZZINI,BAZZINI,Simple Proccessed,Grocery,SID WAINER,NA,Qualifying Spend,Simple Processed Foods,Local DC of Natl. Co.,"Allentown,PA",5,214.4
OATMEAL APPLE CINNAMON CUP,THE QUAKER OATS CO,QUAKER,Simple Proccessed,Grains & Legumes,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,NA,(null),18,466.02000000000004
OATMEAL MAPLE BRWN SUGAR CUP,THE QUAKER OATS CO,QUAKER,Simple Proccessed,Grains & Legumes,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,NA,(null),42,1092.69
